Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jeff Green,C,33,HOU,18,2,22.6,4.7,8.3,1.6,4.4,3.1,3.9,1.3,1.6,0.6,2.3,2.9,1.7,0.8,0.5,0.8,2.4,12.2
Blake Griffin,PF,30,DET,18,18,28.4,4.9,13.9,1.5,6.2,3.4,7.7,4.2,5.4,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5
Marko Guduric,SG,24,MEM,44,0,11.0,1.4,3.6,0.6,1.9,0.8,1.7,0.5,0.6,0.3,1.3,1.7,1.0,0.3,0.2,0.8,0.8,3.9
Kyle Guy,SG,22,SAC,3,0,3.3,0.7,1.7,0.0,1.0,0.7,0.7,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.3
Rui Hachimura,PF,21,WAS,48,48,30.1,5.3,11.4,0.5,1.8,4.8,9.5,2.4,2.9,1.6,4.5,6.1,1.8,0.8,0.2,1.1,2.2,13.5
Devon Hall,PG,24,OKC,11,0,7.4,0.5,2.7,0.4,1.5,0.2,1.2,0.4,0.7,0.2,0.5,0.6,1.2,0.4,0.1,0.5,0.5,1.8
Donta Hall,PF,22,DET,4,0,12.0,0.3,1.0,0.0,0.0,0.3,1.0,1.0,1.5,1.5,2.3,3.8,0.5,0.3,0.3,0.5,2.3,1.5
Donta Hall,C,22,BRK,5,0,17.0,2.8,3.6,0.0,0.0,2.8,3.6,1.0,2.4,1.6,3.0,4.6,0.4,0.4,1.0,0.6,2.8,6.6
Dusty Hannahs,SG,26,MEM,2,0,6.5,2.0,4.5,1.0,1.5,1.0,3.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,6.0
Tim Hardaway Jr.,SG,27,DAL,71,58,29.5,5.4,12.5,2.9,7.2,2.5,5.2,2.1,2.6,0.4,2.9,3.3,1.9,0.6,0.1,1.0,1.8,15.8
James Harden,SG,30,HOU,68,68,36.5,9.9,22.3,4.4,12.4,5.5,9.9,10.2,11.8,1.0,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3
Maurice Harkless,PF,26,LAC,50,38,22.8,2.2,4.3,0.5,1.5,1.7,2.9,0.5,0.8,0.9,3.1,4.0,1.0,1.0,0.6,0.9,2.4,5.5
Maurice Harkless,SF,26,NYK,12,10,23.8,2.5,5.5,0.6,2.1,1.9,3.4,1.3,2.0,0.7,2.7,3.3,1.7,0.8,0.3,0.6,2.3,6.8
Jared Harper,PG,22,PHO,3,0,2.7,0.3,1.3,0.0,0.7,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Montrezl Harrell,C,26,LAC,63,2,27.8,7.5,12.9,0.0,0.3,7.5,12.6,3.7,5.6,2.6,4.5,7.1,1.7,0.6,1.1,1.7,2.3,18.6
Gary Harris,SG,25,DEN,56,55,31.8,3.9,9.3,1.3,3.8,2.6,5.5,1.3,1.6,0.5,2.4,2.9,2.1,1.4,0.3,1.1,2.1,10.4
Joe Harris,SF,28,BRK,69,69,30.8,5.5,11.4,2.5,5.9,3.0,5.5,0.9,1.3,0.9,3.4,4.3,2.1,0.6,0.2,1.5,2.3,14.5
Tobias Harris,PF,27,PHI,72,72,34.3,7.7,16.3,1.8,5.0,5.9,11.3,2.4,3.0,1.0,5.9,6.9,3.2,0.7,0.6,1.4,2.3,19.6
Shaquille Harrison,SG,26,CHI,43,10,11.3,1.8,3.8,0.4,1.0,1.4,2.9,0.9,1.2,0.5,1.5,2.0,1.1,0.8,0.4,0.4,1.3,4.9
Josh Hart,SF,24,NOP,65,16,27.0,3.5,8.2,1.9,5.4,1.6,2.7,1.3,1.8,0.9,5.6,6.5,1.7,1.0,0.4,1.2,2.5,10.1
Isaiah Hartenstein,C,21,HOU,23,2,11.6,1.9,2.9,0.0,0.2,1.9,2.7,0.8,1.2,1.3,2.7,3.9,0.8,0.4,0.5,0.7,1.8,4.7
Udonis Haslem,C,39,MIA,4,1,11.0,1.0,2.8,0.3,0.8,0.8,2.0,0.8,1.0,0.3,3.8,4.0,0.3,0.0,0.0,0.3,1.5,3.0
Jaxson Hayes,C,19,NOP,64,14,16.9,2.7,4.0,0.0,0.1,2.7,4.0,1.9,3.0,1.5,2.5,4.0,0.9,0.4,0.9,0.8,2.5,7.4
Gordon Hayward,SF,29,BOS,52,52,33.5,6.7,13.5,1.6,4.3,5.1,9.2,2.4,2.8,1.1,5.6,6.7,4.1,0.7,0.4,1.8,1.8,17.5
John Henson,C,29,TOT,40,8,15.0,2.4,4.3,0.2,0.9,2.2,3.4,0.6,1.2,1.2,2.9,4.1,1.4,0.6,1.1,0.9,2.0,5.5
John Henson,C,29,CLE,29,2,14.2,2.1,4.1,0.2,1.1,1.9,3.1,0.6,1.1,1.1,2.8,3.9,1.5,0.6,1.1,0.7,1.9,5.0
John Henson,C,29,DET,11,6,17.1,3.1,4.6,0.2,0.5,2.9,4.2,0.5,1.2,1.3,3.1,4.4,1.0,0.7,0.9,1.4,2.1,6.9
Dewan Hernandez,C,23,TOR,6,0,4.7,0.8,2.3,0.2,0.3,0.7,2.0,0.5,0.8,0.8,1.5,2.3,0.5,0.2,0.0,0.5,1.0,2.3
Juan Hernangómez,PF,24,TOT,48,14,17.4,2.1,5.1,0.9,2.7,1.2,2.5,0.9,1.5,0.9,3.2,4.1,0.8,0.4,0.2,0.7,1.3,6.0
Juan Hernangómez,PF,24,DEN,34,0,12.4,1.1,3.2,0.4,1.8,0.7,1.5,0.5,0.7,0.7,2.1,2.8,0.6,0.1,0.1,0.5,0.9,3.1
Juan Hernangómez,PF,24,MIN,14,14,29.4,4.4,9.8,2.1,4.9,2.4,4.9,2.0,3.3,1.4,5.9,7.3,1.3,1.0,0.3,1.0,2.5,12.9
Willy Hernangómez,C,25,CHO,31,0,12.1,2.4,4.5,0.2,0.7,2.2,3.8,1.2,1.9,1.4,2.9,4.3,0.9,0.3,0.2,1.0,1.0,6.1
Tyler Herro,SG,20,MIA,55,8,27.4,4.9,11.5,2.1,5.4,2.8,6.1,1.6,1.8,0.3,3.8,4.1,2.2,0.6,0.2,1.6,1.4,13.5
Kevin Hervey,PF,23,OKC,10,0,5.2,0.7,2.7,0.3,2.0,0.4,0.7,0.0,0.0,0.1,1.1,1.2,0.5,0.1,0.1,0.0,0.4,1.7
Mario Hezonja,PF,24,POR,53,4,16.4,1.7,4.1,0.5,1.5,1.3,2.6,0.9,1.1,0.6,2.9,3.5,0.9,0.7,0.2,0.8,2.0,4.8
Buddy Hield,SG,27,SAC,72,44,30.8,6.9,16.1,3.8,9.6,3.2,6.6,1.6,1.9,0.8,3.8,4.6,3.0,0.9,0.2,2.3,2.3,19.2
George Hill,PG,33,MIL,59,2,21.5,3.3,6.4,1.4,3.0,1.9,3.4,1.4,1.7,0.8,2.2,3.0,3.1,0.8,0.1,1.0,1.4,9.4
Solomon Hill,PF,28,TOT,59,4,18.4,1.9,4.7,1.1,2.9,0.8,1.8,0.7,0.9,0.5,2.3,2.8,1.8,0.7,0.2,0.9,1.4,5.5
Solomon Hill,PF,28,MEM,48,3,18.8,2.0,4.9,1.2,3.1,0.8,1.8,0.5,0.8,0.5,2.5,3.0,2.0,0.6,0.1,0.8,1.5,5.7
Solomon Hill,PF,28,MIA,11,1,17.0,1.3,4.1,0.6,2.2,0.6,1.9,1.3,1.5,0.5,1.5,1.9,0.9,1.1,0.5,1.0,1.1,4.5
Jaylen Hoard,PF,20,POR,13,0,7.9,1.2,2.5,0.0,0.2,1.2,2.2,0.6,1.0,1.1,1.4,2.5,0.3,0.4,0.0,0.3,0.9,2.9
Aaron Holiday,PG,23,IND,66,33,24.5,3.5,8.5,1.3,3.3,2.2,5.2,1.1,1.3,0.3,2.0,2.4,3.4,0.8,0.2,1.3,1.8,9.5
Jrue Holiday,SG,29,NOP,61,61,34.7,7.5,16.5,2.0,5.7,5.5,10.8,2.1,3.0,1.3,3.5,4.8,6.7,1.6,0.8,3.0,2.4,19.1
Justin Holiday,SF,30,IND,73,6,25.0,2.8,6.7,1.8,4.5,1.0,2.1,0.7,0.9,0.4,2.8,3.3,1.3,1.2,0.6,0.6,1.9,8.3
Rondae Hollis-Jefferson,PF,25,TOR,60,6,18.7,2.6,5.5,0.1,0.4,2.5,5.1,1.8,2.4,1.8,2.9,4.7,1.8,0.8,0.4,1.0,1.9,7.0
Richaun Holmes,C,26,SAC,44,38,28.2,5.1,7.8,0.0,0.0,5.1,7.8,2.1,2.7,2.9,5.3,8.1,1.0,0.9,1.3,1.2,3.8,12.3
Rodney Hood,SF,27,POR,21,21,29.5,4.1,8.2,1.7,3.4,2.5,4.8,1.0,1.3,0.5,3.0,3.4,1.5,0.8,0.2,0.9,2.2,11.0
Al Horford,C,33,PHI,67,61,30.2,4.8,10.6,1.5,4.2,3.3,6.4,0.9,1.2,1.5,5.3,6.8,4.0,0.8,0.9,1.2,2.1,11.9
Talen Horton-Tucker,SG,19,LAL,6,1,13.5,2.3,5.0,0.7,2.2,1.7,2.8,0.3,0.7,0.3,0.8,1.2,1.0,1.3,0.2,1.0,1.7,5.7
Danuel House,SF,26,HOU,63,52,30.4,3.7,8.6,2.0,5.6,1.6,2.9,1.2,1.4,0.9,3.3,4.2,1.3,1.1,0.5,0.9,2.1,10.5
Dwight Howard,C,34,LAL,69,2,18.9,2.9,4.0,0.0,0.1,2.9,3.9,1.6,3.1,2.5,4.9,7.3,0.7,0.4,1.1,1.2,3.2,7.5
William Howard,PF,26,HOU,2,0,6.5,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0
Kevin Huerter,SG,21,ATL,56,48,31.4,4.5,10.9,2.3,6.0,2.2,4.9,0.9,1.1,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,12.2
De'Andre Hunter,SF,22,ATL,63,62,32.0,4.4,10.8,1.7,4.8,2.7,6.0,1.7,2.3,0.7,3.8,4.5,1.8,0.7,0.3,1.6,2.9,12.3
Chandler Hutchison,SF,23,CHI,28,10,18.8,2.9,6.3,0.4,1.4,2.4,4.9,1.6,2.8,0.6,3.2,3.9,0.9,1.0,0.3,1.0,1.7,7.8
Serge Ibaka,C,30,TOR,55,27,27.0,6.2,12.2,1.3,3.3,5.0,8.9,1.6,2.3,2.1,6.1,8.2,1.4,0.5,0.8,2.0,2.8,15.4
Andre Iguodala,SF,36,MIA,21,0,19.9,1.8,4.2,0.7,2.2,1.1,2.0,0.3,0.7,0.8,2.9,3.7,2.4,0.7,1.0,1.2,1.7,4.6
Ersan İlyasova,PF,32,MIL,63,8,15.7,2.3,5.0,0.8,2.2,1.5,2.8,1.1,1.4,1.0,3.8,4.8,0.8,0.4,0.3,0.5,1.5,6.6
Joe Ingles,PF,32,UTA,72,45,29.7,3.4,7.7,2.0,4.9,1.5,2.8,1.0,1.3,0.4,3.5,3.9,5.2,0.9,0.2,2.0,2.1,9.8
Brandon Ingram,PF,22,NOP,62,62,33.9,8.2,17.7,2.4,6.2,5.8,11.5,5.0,5.9,0.8,5.3,6.1,4.2,1.0,0.6,3.0,2.9,23.8
Kyrie Irving,PG,27,BRK,20,20,32.9,10.0,20.8,2.8,7.1,7.2,13.7,4.7,5.1,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4
Jonathan Isaac,PF,22,ORL,34,32,28.8,4.6,9.8,0.9,2.8,3.6,7.0,1.8,2.3,1.7,5.1,6.8,1.4,1.6,2.3,1.4,2.4,11.9
Wesley Iwundu,SF,25,ORL,52,21,18.3,1.9,4.5,0.5,1.6,1.3,2.9,1.5,1.9,0.5,2.1,2.5,1.2,0.5,0.3,0.5,1.5,5.8
Frank Jackson,PG,21,NOP,59,2,13.5,2.3,5.6,0.8,2.4,1.5,3.2,0.9,1.3,0.4,1.0,1.4,1.0,0.3,0.1,0.8,1.3,6.3
Jaren Jackson Jr.,C,20,MEM,57,57,28.5,6.2,13.2,2.5,6.5,3.6,6.8,2.4,3.3,1.0,3.6,4.6,1.4,0.7,1.6,1.7,4.1,17.4
